year,serial,month,cpsid,asecflag,asecwth,statefip,hhincome,pernum,cpsidp,cpsidv,asecwt,age,sex,race,marst,vetstat,famsize,nchild,nchlt5,ftype,yrimmig,citizen,nativity,hispan,empstat,occ2010,ind,classwkr,educ,diffany,wkswork1,uhrsworkly,pension,firmsize,ftotval,inctot,incwage,incbus,incss,incretir,incint,incdivid,incrent,ctccrd,actccrd,adjginc,eitcred,fedtaxac,fica,filestat,depstat,margtax,taxinc,spmwt,spmfedtaxac,spmftotval,spmfamunit,eff_rate
2024,55,3,20241300005500,1,801.94,23,67478,1,20241300005501,202413000055011,801.94,69,1,100,1,1,4,1,0,1,0,1,1,0,36,9999,0,0,111,1,0,999,0,0,67478,36050,0,0,36000,0,50,0,0,0,0,4110,0,0,0,3,0,0,0,801.94,-5025.0,67478,65001,0.0
2024,55,3,20241300005500,1,801.94,23,67478,3,20241300005503,202413000055031,1533.13,37,1,100,6,1,4,1,1,3,0,1,1,0,21,7315,5680,21,123,1,52,40,2,2,25000,25000,25000,0,0,,0,0,0,420,1580,25000,3445,-5025,1913,4,0,10,4200,801.94,-5025.0,67478,65001,-20.1
2024,59,3,20241300005900,1,904.73,23,25001,1,20241300005901,202413000059011,904.73,45,2,100,6,1,3,2,0,1,0,1,1,0,10,2200,7870,21,123,2,38,30,1,7,25001,25001,25000,0,0,,1,0,0,420,3200,25001,5879,-9079,1913,4,0,10,4201,904.73,-9079.0,25001,69001,-36.314547418103274
2024,61,3,20221202747500,1,1424.25,23,50145,1,20221202747501,202212027475011,1424.25,85,1,100,1,2,2,0,0,1,0,1,1,0,36,9999,0,0,73,1,0,999,0,0,50145,31813,0,0,25000,6000,813,0,0,0,0,9785,0,0,0,3,0,0,0,1424.25,0.0,50145,71001,0.0
2024,68,3,20230200358400,1,1061.25,23,20094,1,20230200358401,202302003584011,1061.25,76,1,100,4,2,1,0,0,2,0,1,1,0,36,9999,0,0,73,2,0,999,0,0,20094,20094,0,0,17532,0,2562,0,0,0,0,2562,0,0,0,5,0,0,0,1061.25,0.0,20094,85001,0.0
2024,74,3,20231200360900,1,1694.91,23,87512,1,20231200360901,202312003609011,1694.91,56,2,100,1,1,2,0,0,1,0,1,1,0,10,4130,7860,28,111,1,44,35,3,7,87512,23509,22269,0,0,,40,1200,0,0,0,87512,0,6593,1703,1,0,12,59812,1694.91,6593.0,87512,91001,7.533823932717798
2024,75,3,20240100362400,1,1368.09,23,143280,1,20240100362401,202401003624011,1368.09,69,2,100,1,1,2,0,0,1,0,1,1,0,10,565,9490,28,111,1,52,24,2,9,143280,79945,40000,0,37800,0,145,2000,0,0,0,73888,0,4503,3060,3,0,12,43188,1368.09,4503.0,143280,92001,6.094359029883066
2024,77,3,20221202742900,1,1631.96,23,52348,1,20221202742901,202212027429011,1631.96,67,2,100,1,1,2,0,0,1,0,1,1,0,36,9999,0,0,73,2,0,999,0,0,52348,12348,0,0,12348,0,0,0,0,0,0,42848,0,1092,0,2,0,10,10918,1631.96,1092.0,52348,94001,2.5485436893203883
2024,80,3,20240200364500,1,1613.79,23,108179,1,20240200364501,202402003645011,1613.79,35,1,100,1,1,4,2,2,1,0,1,1,0,10,430,280,14,73,1,52,50,3,1,108179,80031,80000,0,0,,31,0,0,4000,0,108179,0,4017,6120,1,0,12,80479,1613.79,4017.0,108179,97001,3.7132900100758928
2024,82,3,20231200361300,1,1479.06,23,82000,1,20231200361301,202312003613011,1479.06,80,1,100,5,2,1,0,0,2,0,1,1,0,36,9999,0,0,111,1,0,999,0,0,82000,82000,0,0,0,0,82000,0,0,0,0,119999,0,18432,0,5,0,24,104299,1479.06,18432.0,82000,103001,15.360128001066675
2024,97,3,20241300009700,1,1608.28,23,155037,1,20241300009701,202413000097011,1608.28,39,1,100,1,1,4,2,1,1,0,1,1,0,12,7150,8770,14,111,1,48,40,1,1,155037,100002,100000,0,0,,0,2,0,4000,0,155037,0,14147,7650,1,0,22,127337,1608.28,14147.0,155037,123001,9.124918567825745
2024,98,3,20231300010300,1,870.73,23,85826,1,20231300010301,202313000103011,870.73,51,2,100,1,1,4,1,0,1,0,1,1,0,34,9999,0,0,111,1,0,999,0,0,85826,-1978,0,0,0,,10,12,-2000,2000,0,55024,0,837,0,1,0,12,27324,870.73,837.0,85826,124001,1.5211544053503925
2024,98,3,20231300010300,1,870.73,23,85826,4,20231300010304,202313000103041,761.24,80,2,100,5,1,4,1,0,1,0,1,1,0,36,9999,0,0,73,2,0,999,0,0,85826,30802,0,0,26000,0,2,0,0,0,0,4802,0,0,0,5,0,0,0,870.73,837.0,85826,124001,0.0
2024,99,3,20241300009900,1,695.02,23,110020,1,20241300009901,202413000099011,695.02,46,2,100,4,1,3,1,0,1,0,1,1,0,10,4600,9290,21,73,1,52,40,1,1,40000,40000,40000,0,0,,0,0,0,1990,10,40000,1048,-1058,3060,4,0,12,19200,695.02,6510.0,110020,125001,-2.645
