,income_from,income_to,filing_status,marital_status,dominant_income_source,dependents,marriage (supported only)
0,1.0,22000.0,-18.460176662995625,-2.578904005987077,2.673999389111317,0.097499536959354,-3.8028851413021036
1,22001.0,32075.0,-10.807592888761642,-3.280116218992133,-0.035149402432822864,0.8474374482889645,-5.707958642887017
2,32100.0,43000.0,-6.033488351720488,-2.424282496869344,-1.6208388605978201,0.9646472184198207,-5.588896893257966
3,43001.0,53097.0,-2.45763517755154,-1.6791998377433273,-2.2032088514266257,0.7242261762773089,-4.957611225923143
4,53098.0,67520.0,-1.3599673845851732,-0.5830312693403118,-2.5301207926410036,0.3586685078625253,-4.142520165094872
5,67550.0,85699.0,-0.3045813799107234,0.16597932092364384,-3.265271847645654,0.4463632809275514,-4.415752321121499
6,85710.0,110062.0,1.5380391931957835,1.6406616817047877,-2.8172693227012466,0.6397442067428211,-5.090762712966671
7,110071.0,148420.0,2.7596977106178526,2.8877455555199445,-2.7792981953260734,0.6008638460895849,-5.232780086446167
8,148485.0,213700.0,2.7518258449562953,3.2508722889832877,-2.9017067009758577,0.49467419811168806,-4.645794772559237
9,213760.0,1672866.0,3.5212003593111154,4.386281019853903,-2.052531766929935,0.4357874306966771,-5.291793829819642
