direction,filers,mean_gap,median_gap,training_examples_in_target_region,status
single/HoH -> joint,6883,-4.843636957318484,-4.851478271473736,1370,supported
joint -> single,5364,6.623641143131583,5.718177998101226,0,EXTRAPOLATION - not quoted as a finding
