,twins,mean_gap,median_gap,std_gap,p10,p90,share_gap_negative,share_gap_negligible
filing_status,12247.0,-2.90226658197154,2.107527835752978,13.723433906041816,-23.096062160055606,7.440310161543743,0.47611659998366945,0.0002449579488854413
marital_status,12247.0,0.1788566926214324,-0.4495192034222662,7.670993763192395,-7.000820027394966,7.336117396268861,0.5181677145423369,0.0022862741895974524
dominant_income_source,9476.0,-1.580054520417185,-2.3537968479511413,4.0816091620020885,-5.403263801003615,2.98029233188832,0.7603419164204306,0.007703672435626847
dependents,12247.0,0.5600231459440603,-0.012222897518300968,4.617473921881158,-2.306764395636044,3.7016906381066246,0.5316404017310362,0.18910753653956072
