row,base_rate,twin_rate,gap,from_label,to_label,unit_inctot,filing_status,marst,nchild,spouse_income_share
0,3.070629700848265,-1.6599468129696369,-4.730576513817902,never married,"married, living together",20102.0,5,6,0,0.0
1,7.791093610260894,3.7930168194604694,-3.998076790800425,widowed,"married, living together",50000.0,5,5,0,0.0
2,13.40302473580406,17.756530742786246,4.353506006982187,"married, living together",never married,210150.0,1,1,1,0.2862241256245539
3,9.780777616967816,14.52653679087082,4.745759173903004,"married, living together",never married,139355.0,1,1,1,0.354160238240465
4,6.163167253573251,-8.22107017551472,-14.384237429087971,separated,"married, living together",36100.0,5,3,1,0.0
5,1.9065858090958006,-0.559467550549969,-2.4660533596457697,widowed,"married, living together",36253.0,5,5,0,0.0
6,7.180461473348879,10.807028977619362,3.626567504270483,"married, living together",never married,93450.0,1,1,0,0.4489031567683253
7,5.756759515466491,0.6548650167835821,-5.101894498682908,divorced,"married, living together",33000.0,5,4,0,0.0
8,6.059379122993549,13.461527426192507,7.402148303198958,"married, living together",never married,122594.0,1,1,2,0.6561658808750837
9,11.59645988047438,16.751804676453155,5.155344795978774,"married, living together",never married,191945.0,1,1,2,0.7915965510953659
10,1.923456663867194,11.913333223702034,9.98987655983484,"married, living together",never married,89107.0,1,1,2,0.2705399126892387
11,5.840667222478284,-2.5306761087241503,-8.371343331202434,never married,"married, living together",33400.0,5,6,0,0.0
12,13.53535736539851,18.88300291216075,5.347645546762241,"married, living together",never married,246199.0,1,1,2,0.6336297060507963
13,13.33344972511204,11.124603286500255,-2.2088464386117845,divorced,"married, living together",153982.0,4,4,1,0.0
14,12.87026898544271,8.02121805527152,-4.84905093017119,widowed,"married, living together",152384.0,5,5,0,0.0
15,9.90145312109082,3.595559723639777,-6.305893397451042,widowed,"married, living together",69946.0,5,5,0,0.0
16,6.728730719377446,-1.0388505226603995,-7.767581242037846,never married,"married, living together",37000.0,5,6,0,0.0
17,4.339111706842738,11.264570370600998,6.92545866375826,"married, living together",never married,107979.0,1,1,1,1.0
18,5.928267857408749,9.469936900344676,3.5416690429359265,"married, living together",never married,84500.0,1,1,1,0.8875739644970414
19,3.8199889575106383,13.359097342657622,9.539108385146983,"married, living together",never married,131004.0,1,1,4,0.4351164849928246
20,3.132771083752499,6.808820504145601,3.6760494203931016,"married, living together",never married,50532.0,1,1,0,0.011873664212776
21,5.661192554394205,8.559709777022219,2.898517222628014,"married, living together",never married,65000.0,1,1,0,0.2307692307692307
