unit_inctot,wage_share,business_share,interest_share,dividend_share,retirement_share,socsec_share,rent_share,spouse_income_share,age,nchild,nchlt5,famsize,filing_status,marst,statefip,eff_rate,asecwt
45578.0,0.0,0.0,0.0,0.0,0.0,0.38569046469788054,0.0,0.6143095353021194,79,0,0,2,1,1,34,0.0,3913.77
3000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0,4,5,6,25,0.0,2483.09
25002.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1,1,3,4,6,18,-20.178385729141667,1950.85
78060.0,0.9928260312580066,0.0,0.0071739687419933385,0.0,0.0,0.0,0.0,0.0,46,2,0,3,4,4,27,2.5070458621573146,3326.2
109960.0,0.991269552564569,0.0,0.008730447435431065,0.0,0.0,0.0,0.0,0.0,51,0,0,1,5,5,13,14.974536194979994,3549.82
71230.0,0.22462445598764566,0.0,0.0032289765548224065,0.0,0.0,0.0,0.0,0.0,64,0,0,1,5,4,37,11.13435350273761,4387.15
16150.0,0.9907120743034056,0.0,0.009287925696594427,0.0,0.0,0.0,0.0,0.0,28,0,0,2,5,6,6,0.718266253869969,2642.45
154927.0,0.0,0.0,0.23961607724928516,0.006454652836497189,0.09036513971096065,0.16136632091242972,0.06971025063416963,0.0,75,0,0,1,5,6,39,16.78945396814071,3700.05
160800.0,0.6840796019900498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,1,0,2,4,6,34,14.257692307692308,2682.82
40000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,0,0,2,5,6,4,7.295,4121.62
88005.0,0.9090392591330038,0.0,0.0909607408669962,0.0,0.0,0.0,0.0,0.0,59,0,0,1,5,4,6,13.206067837054714,4173.83
54000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,0,2,4,4,44,-2.648571428571429,1010.25
21120.0,0.0,0.0,0.0,0.0,0.0,0.8522727272727273,0.0,0.0,77,0,0,1,5,4,4,0.0,3365.3
120157.0,0.457734464076167,0.0,0.013099528117379761,0.012483667202077282,0.0,0.05367976896893231,0.0,0.4372029927511506,64,0,0,2,1,1,33,8.824600612532075,950.81
34002.0,0.1176401388153638,0.0,2.941003470384095e-05,0.0,0.0,0.0,0.0,0.8823304511499324,27,2,1,4,1,1,45,-25.18969472383977,1356.5
181101.0,0.4969602597445624,0.0,0.001380445165957118,0.0,0.0,0.0,5.521780663828471e-06,0.5016537733088167,51,0,0,2,1,1,6,12.761387292173982,2518.83
49257.0,0.5887488072761232,2.030168300952149e-05,0.03865440445012892,0.0,0.0,0.0,0.0,0.3725764865907384,27,1,1,3,1,1,49,-2.461663494236157,1455.98
72002.0,0.6527874225715953,0.0,0.0,0.0,0.0,0.3472125774284048,0.0,0.0,67,1,0,4,5,4,25,9.573345836019458,1912.65
68179.0,0.0,0.0,0.0,0.11733818331157687,0.0,0.2754367180510128,0.0,0.13200545622552398,79,0,0,3,1,1,1,2.982990606752983,1199.87
85860.0,0.9666899604006522,0.0,0.029815979501514094,0.0034940600978336828,0.0,0.0,0.0,0.0,28,0,0,2,5,6,27,12.961971076593464,4970.24
10000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0,1,5,6,26,-5.84,4623.38
96200.0,0.2598752598752599,0.0,0.0,0.0,0.0,0.0,0.0,0.7401247401247402,71,2,0,6,1,1,15,1.560693641618497,359.42
115001.0,0.9999913044234398,0.0,8.695576560203825e-06,0.0,0.0,0.0,0.0,0.0,36,1,0,3,5,6,45,15.37030112781628,1478.42
68986.0,0.6812976545965849,0.0,0.17396283303858753,0.0,0.0,0.0,0.0,0.0,57,0,0,1,5,6,36,8.549560780448207,4503.24
52037.0,0.9992889674654573,0.0,0.0007110325345427292,0.0,0.0,0.0,0.0,0.0,31,0,0,1,5,6,6,8.382497069392931,2985.54
50185.0,0.0,0.0,3.985254558134901e-05,0.0,0.0,0.3287835010461293,0.0,0.6137889807711467,78,0,0,2,1,1,34,0.0,2991.11
256645.0,0.21040737205088741,0.0,0.0020729022579828167,3.896432815757174e-06,0.0,0.0,0.0,0.787515829258314,40,2,1,4,1,1,26,14.23990336846617,2310.41
15000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,0,3,5,6,1,0.7666666666666666,2534.17
543899.0,0.4669984684656526,0.0,0.24287413655844192,0.022062919770030835,0.0,0.0,0.0,0.2680644752058746,56,0,0,2,1,1,1,18.417996811588495,2317.51
20000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,0,0,2,4,2,6,-27.975,1879.46
259475.0,0.0,0.0,0.005010116581558917,0.0,0.0,0.0,0.0,0.9949898834184411,29,0,0,2,1,1,47,16.350708160709125,2693.26
65800.0,0.3161094224924012,0.0,0.0,0.0,0.0,0.0,0.0,0.6838905775075987,26,0,0,5,1,1,6,6.279635258358662,2174.39
225000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,3,5,6,53,20.622222222222224,3326.5
118601.0,0.8853213716579118,0.0,0.10961964907547155,0.005058979266616639,0.0,0.0,0.0,0.0,58,0,0,1,5,5,21,12.647448166541595,4703.15
75108.0,0.9985620706183096,0.0,0.0014379293816903658,0.0,0.0,0.0,0.0,0.0,32,0,0,1,5,6,6,11.695158971081645,2324.2
25000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,1,0,2,4,6,17,-20.1,1911.01
55300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,1,0,2,5,6,35,8.596745027124774,832.8
45011.0,0.9997556152940392,0.0,0.00024438470596076516,0.0,0.0,0.0,0.0,0.0,40,0,0,2,5,6,45,7.8180889115993875,5009.68
78002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29,3,1,5,1,1,24,-0.5179354375528833,3552.86
41579.0,0.0,0.0,0.0,0.0,0.0,0.6536713244666779,0.0,0.0,71,0,0,2,5,4,23,0.1258257313620635,1631.96
50940.0,0.0,0.0,0.0,0.0,0.0,0.7644287396937574,0.0,0.0,75,1,0,2,5,5,12,0.0,2160.4
45751.0,0.5901510349500557,0.0,0.007671963454350725,0.0,0.0,0.0,0.21857445738890954,0.0,62,0,0,1,5,4,56,6.960991673583036,477.91
40554.0,0.0,0.0,0.06347092765201953,0.014795088030773782,0.0,0.625832223701731,0.2959017606154757,0.0,67,0,0,1,5,5,36,0.1866795134288811,4093.91
100303.0,0.14954687297488609,0.0,0.022940490314347528,0.019939583063318146,0.0,0.0,0.0,0.8075730536474482,46,3,0,5,1,1,16,2.0258616392331237,611.17
49625.0,0.9874055415617129,0.0,0.012594458438287154,0.0,0.0,0.0,0.0,0.0,31,0,0,1,5,6,4,8.207556675062973,3657.29
