inctot,wage_share,business_share,interest_share,dividend_share,retirement_share,socsec_share,rent_share,age,nchild,nchlt5,famsize,filestat,marst,statefip,eff_rate,asecwt
30001,0.9999666677777408,0.0,3.333222225925803e-05,0.0,0.0,0.0,0.0,29,0,0,2,5,6,23,5.726475784140528,1113.39
74013,0.9998243551808466,0.0,0.00017564481915339198,0.0,0.0,0.0,0.0,56,0,0,2,1,1,23,8.466333696346089,1565.21
36050,0.0,0.0,0.0013869625520110957,0.0,0.0,0.9986130374479889,0.0,69,1,0,4,3,1,23,0.0,801.94
25000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37,1,1,4,4,6,23,-20.1,1533.13
25001,0.999960001599936,0.0,3.999840006399744e-05,0.0,0.0,0.0,0.0,45,2,0,3,4,6,23,-36.314547418103274,904.73
31813,0.0,0.0,0.025555590481878478,0.0,0.18860214377770093,0.7858422657404206,0.0,85,0,0,2,3,1,23,0.0,1424.25
20094,0.0,0.0,0.12750074649148999,0.0,0.0,0.87249925350851,0.0,76,0,0,1,5,4,23,0.0,1061.25
23509,0.9472542430558509,0.0,0.001701476030456421,0.051044280913692626,0.0,0.0,0.0,56,0,0,2,1,1,23,7.533823932717798,1694.91
79945,0.5003439864907123,0.0,0.0018137469510288323,0.025017199324535618,0.0,0.4728250672337232,0.0,69,0,0,2,3,1,23,6.094359029883066,1368.09
12348,0.0,0.0,0.0,0.0,0.0,1.0,0.0,67,0,0,2,2,1,23,2.5485436893203883,1631.96
80031,0.999612650098087,0.0,0.00038734990191300874,0.0,0.0,0.0,0.0,35,2,2,4,1,1,23,3.7132900100758928,1613.79
82000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80,0,0,1,5,5,23,15.360128001066675,1479.06
