variable,label,value_codes
eitcred,Earned income tax credit,(continuous / numeric)
fedtaxac,"Federal income tax liability, after all credits",(continuous / numeric)
fica,Social security retirement payroll deduction,(continuous / numeric)
filestat,Tax filer status,"0=No data | 1=Joint, both less than 65 | 2=Joint, one less than 65, one 65+ | 3=Joint, both 65+ | 4=Head of household | 5=Single | 6=Nonfiler"
depstat,Dependency status pointer,(continuous / numeric)
margtax,Federal income marginal tax rate,(continuous / numeric)
taxinc,Taxable income amount,(continuous / numeric)
spmwt,SPM unit's weight,(continuous / numeric)
spmfedtaxac,SPM unit's federal tax,(continuous / numeric)
spmftotval,SPM unit's cash income,(continuous / numeric)
spmfamunit,SPM unit's ID,(continuous / numeric)
eff_rate,Effective federal tax rate (DERIVED = fedtaxac/adjginc*100),"(continuous, percent)"
