unit_inctot,wage_share,business_share,interest_share,dividend_share,retirement_share,socsec_share,rent_share,spouse_income_share,age,nchild,nchlt5,famsize,filing_status,marst,statefip
60100.0,0.3327787021630615,0.0,0.0,0.0,0.0,0.0,0.0,0.6672212978369384,57,1,0,3,1,1,42
35000.0,0.0,0.2285714285714285,0.0,0.0,0.0,0.0,0.0,0.7714285714285715,33,0,0,2,1,1,29
17000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0,4,5,6,6
160603.0,0.2490613500370478,0.0,1.2453067501852394e-05,6.226533750926197e-06,0.0,0.0,0.0,0.7509199703616993,61,0,0,2,1,1,56
19000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0,3,5,6,48
183634.0,0.2777263469727828,0.0,0.0034525196858969,0.0,0.0,0.0,0.0,0.7188211333413203,39,4,0,6,1,1,42
23302.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50,1,0,2,4,6,51
23751.0,0.5052418845522294,0.0,0.0006315523556902,0.0,0.0,0.0,0.0,0.0,33,4,1,6,5,6,6
103120.0,0.2327385570209464,0.6788207913110939,0.0,0.0,0.0,0.0,0.0,0.0,37,3,0,5,4,4,46
101914.0,0.5494828973448201,0.0,0.0286025472457169,0.0,0.0,0.0,0.0,0.4219145554094629,28,1,1,3,1,1,39
118000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,1,0,2,4,6,12
146659.0,0.5454830593417384,0.0,0.0021819322373669,0.0,0.0,0.1963739013630258,0.0,0.2559611070578689,70,0,0,2,1,1,51
130013.0,0.7153130840762078,0.0,1.5383077076907694e-05,0.0,0.0,0.0,0.0,0.2846715328467153,57,2,0,4,1,1,48
184561.0,0.4334610237265728,0.1083652559316432,0.0005905906448274,0.0,0.0,0.0,0.0,0.3492178737653134,33,3,1,5,1,1,30
222159.0,0.2700768368600867,0.0,0.0045237870174064,0.0,0.0,0.0,4.5012806143347785e-06,0.7194891946758852,41,4,0,7,1,1,2
75000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,0,3,5,6,34
86015.0,0.941696215776318,0.0,0.0583037842236819,0.0,0.0,0.0,0.0,0.0,58,1,0,8,5,4,6
