,income_from,income_to,income_shap,capital_shap,children_shap,mean_predicted
0,2.0,22000.0,-12.522435284225029,-0.446583950229958,0.6452172281844384,-6.045822021644635
1,22003.0,32661.0,-7.71972431096913,-0.36211926446134934,0.25011738442424686,-2.0969700616521267
2,32800.0,42485.0,-4.409517609144619,-0.22441049809922284,0.3159263731494948,1.5679922627620513
3,42500.0,52721.0,-2.2628287875019755,-0.14056817273550937,0.2550758271302568,3.343378388521989
4,52780.0,67004.0,-0.6146025452742192,-0.062105490935614675,0.39582742597105436,5.5479804041722955
5,67006.0,85925.0,1.1638251519537934,-0.0009929570723176385,0.2127160449311671,6.870612425426847
6,85961.0,110300.0,3.295143331669288,0.059202506365945116,-0.05330598118356946,7.7527662371739385
7,110334.0,149102.0,5.233958530993564,0.152240904023242,0.07790665673585376,9.638582688756452
8,149255.0,217103.0,8.177422241071849,0.2783355422340039,-0.14726774221339378,12.269112805021445
9,217309.0,1458499.0,12.825680560689989,0.4130025712732923,-0.12449214257351128,16.85133983663441
